temp,volt,rotate,time,id
45.98425945,150.5132231,277.294014,1,1
52.90392969,110.4340753,314.5867262,2,1
53.82550722,169.2595188,315.6025021,3,1
47.78267591,110.8295315,345.8946517,4,1
43.4792264,199.3516748,325.3640807,5,1
49.59376671,145.6429489,370.5231473,6,1
49.55370077,177.9368947,345.7171063,7,1
49.62468858,150.4729976,310.4098192,8,1
48.66065109,155.3300661,342.1765811,9,1
52.13914561,163.9654119,371.1262708,10,1
53.84428872,227.5308994,332.7407004,11,1
55.90476339,186.296285,344.5849566,12,1
50.05874403,189.3934151,350.5238522,13,1
51.25863264,180.3053872,364.6732183,14,1
47.2278081,175.5185319,317.5067281,15,1
47.54200519,163.2432828,394.9424732,16,1
49.25369892,99.54218071,384.3888342,17,1
59.24098888,146.6119809,318.1867926,18,1
44.62292422,162.4543406,368.0218172,19,1
51.30625984,184.7164297,352.6028461,20,1
45.43570467,166.6078701,323.736642,21,1
48.88268868,174.095501,400.4066379,22,1
51.38397725,124.0163934,355.9145833,23,1
50.64917377,208.3464941,366.5367302,24,1
51.71702728,176.4496113,394.5128423,25,1
54.61976952,200.4883053,370.6550703,26,1
50.8067547,169.5420793,382.5213661,27,1
54.21837253,215.3870864,394.4865886,28,1
50.11455025,95.52867321,366.7491743,29,1
50.08544253,124.8565553,369.919922,30,1
53.18556106,182.6076345,389.7005128,31,1
44.15060996,200.9461537,377.9976434,32,1
51.36406856,178.3126877,394.3821039,33,1
47.61474263,218.5576436,402.5840886,34,1
45.52375637,230.8257084,439.5979209,35,1
38.42151727,158.4371511,411.659315,36,1
44.93971154,195.1858214,380.1450624,37,1
54.99353046,201.6786253,342.1854364,38,1
49.61281756,233.6927901,370.6401329,39,1
49.5954774,132.6397369,406.3169698,40,1
50.51654269,205.5790529,384.2417,41,1
49.14772378,178.6341747,372.1165446,42,1
39.96393607,224.5356151,396.039743,43,1
55.06302802,171.0921828,397.3265469,44,1
51.48125673,221.9103879,394.007931,45,1
53.64652431,200.540113,355.7221656,46,1
50.48763544,146.9536122,411.5890776,47,1
50.51528204,126.304308,356.8837148,48,1
57.02798731,143.8823722,369.3524786,49,1
45.87868975,152.8673755,416.957841,50,1
46.13338009,126.4890795,411.2068029,51,1
52.70822934,186.807706,366.7039013,52,1
48.37149337,214.3115375,383.0808606,53,1
46.5882505,150.8831432,368.7844892,54,1
51.7121603,163.5474959,396.0471007,55,1
53.80060742,209.154324,366.9000943,56,1
48.24685799,145.9274755,422.2831519,57,1
48.80592922,117.9944137,423.3947295,58,1
49.82286538,171.9087408,392.3472635,59,1
53.9917363,175.5741456,379.9384994,60,1
48.49268783,130.8261028,375.9153458,61,1
42.40788312,136.2351798,374.9825579,62,1
45.52240888,208.1485417,397.0496048,63,1
58.76468284,162.9044292,385.9077685,64,1
45.34855526,144.4732913,422.0345772,65,1
44.81237475,166.9081798,377.7993577,66,1
50.16545597,163.4437949,419.5775573,67,1
48.24647102,139.8233463,385.6635307,68,1
43.27164142,137.6120891,400.7606388,69,1
50.18876118,202.435597,430.1812111,70,1
45.45320734,183.2399103,394.1808818,71,1
48.42715292,136.8234753,383.0276832,72,1
46.92943031,153.6982517,385.806653,73,1
47.9637223,177.1323319,403.3248124,74,1
48.70203016,192.3485652,394.5741356,75,1
43.32599394,120.5141417,437.3499064,76,1
50.05834208,180.1493903,413.241178,77,1
52.620857,248.2577913,410.5656207,78,1
44.19363346,158.8080086,416.537096,79,1
47.34410372,147.9088558,421.843343,80,1
52.79212774,137.5233182,441.3164435,81,1
44.94218764,141.8404521,389.3768545,82,1
38.06675719,154.7903463,446.9998096,83,1
46.92338791,197.832804,404.8508613,84,1
45.75210955,144.2087685,413.4680975,85,1
49.06912286,200.5704185,401.6952438,86,1
55.52937223,118.5705401,414.8461188,87,1
51.17628912,169.9624645,367.8411988,88,1
48.02967465,207.1327724,410.462699,89,1
46.60520333,194.6518203,421.7174633,90,1
48.72738737,147.2036462,410.9460669,91,1
47.39611342,221.4122559,425.687037,92,1
54.68674615,211.1970454,452.434984,93,1
49.05770633,145.8960836,403.9292788,94,1
43.62679583,163.5303813,407.0804642,95,1
46.51942092,145.4792686,446.1413618,96,1
52.19036378,184.2059969,421.0476324,97,1
47.60396153,227.9612524,452.3029598,98,1
43.70555803,169.0773026,417.2860151,99,1
45.59312972,189.7564007,411.7596995,100,1
49.52450456,188.8706533,469.4805565,101,1
41.1725584,168.6543737,436.2965486,102,1
49.10325834,174.0603923,368.7849186,103,1
49.46642981,208.4214597,433.1064699,104,1
59.8609946,191.0867587,411.8367972,105,1
49.15074428,178.2816066,442.5354037,106,1
50.42005571,176.2448314,447.2585797,107,1
48.17042879,159.3534055,415.7266712,108,1
44.89396894,196.4796657,446.4976617,109,1
58.78234513,147.803716,438.9495346,110,1
51.90755471,145.0584507,455.0340666,111,1
51.49884348,188.6655944,397.9635435,112,1
47.08074296,192.2347719,426.5492055,113,1
55.00855718,162.5803327,426.9186008,114,1
55.50965366,143.1234108,374.9839535,115,1
52.42521953,109.0146958,395.9528468,116,1
48.21410409,179.1835495,396.9101479,117,1
47.35638535,188.939006,432.752428,118,1
53.18580068,234.1885948,440.3529326,119,1
50.86651653,174.7871062,449.6344956,120,1
55.20962621,184.5899479,415.0043055,121,1
49.28658081,207.0343032,402.4858604,122,1
53.17737012,186.2428964,463.605655,123,1
52.85536021,170.9143586,429.7111781,124,1
50.55900945,213.6887009,426.8409678,125,1
47.5764569,191.3754006,398.6295155,126,1
45.48903692,173.4596086,412.8056117,127,1
51.55325809,146.0833571,443.7205408,128,1
48.93938089,155.9576301,412.1052224,129,1
49.807322,204.919355,433.9915885,130,1
45.6764887,151.9090439,438.5971788,131,1
54.72806082,228.7814703,387.1988744,132,1
44.48055914,136.7269117,440.2906796,133,1
47.00347958,141.8187833,426.7025333,134,1
52.17458999,176.8074105,455.9050741,135,1
53.3471823,187.2336097,419.3162414,136,1
64.36933242,160.2044037,405.2212269,137,1
50.29988283,166.1784322,430.8235933,138,1
50.12967209,142.2696594,388.3424942,139,1
54.05181422,140.3216672,499.7054138,140,1
48.89854447,172.1066684,409.6096028,141,1
50.68422678,203.2918424,420.3611792,142,1
41.2112751,210.2879944,460.3568927,143,1
54.78521095,171.3515003,421.5638224,144,1
52.63717991,142.9941168,412.2487799,145,1
54.28349419,179.1191224,438.7428334,146,1
52.88147887,159.9064305,415.6803854,147,1
